date,atm_name,withdrawals_total,withdrawals_xyz,withdrawals_other,amount_total,amount_xyz,amount_other,weekday,festival,working_day
2011-01-17,Big Street ATM,37.0,28.0,9.0,129800.0,113600.0,16200.0,1,H,0.0
2011-01-18,Christ College ATM,82.0,45.0,37.0,380000.0,216900.0,163100.0,2,NH,1.0
2011-01-18,Mount Road ATM,123.0,82.0,41.0,405200.0,360600.0,44600.0,2,NH,1.0
2011-01-18,KK Nagar ATM,225.0,159.0,66.0,831200.0,663600.0,167600.0,2,NH,1.0
2011-01-18,Airport ATM,86.0,65.0,21.0,343100.0,273100.0,70000.0,2,NH,1.0
2011-01-18,Big Street ATM,29.0,13.0,16.0,163600.0,73400.0,90200.0,2,NH,1.0
2011-01-19,Christ College ATM,124.0,39.0,85.0,446800.0,121100.0,325700.0,3,NH,1.0
2011-01-19,Mount Road ATM,152.0,69.0,83.0,537700.0,301300.0,236400.0,3,NH,1.0
2011-01-19,KK Nagar ATM,183.0,151.0,32.0,649200.0,583800.0,65400.0,3,NH,1.0
2011-01-19,Airport ATM,106.0,86.0,20.0,428900.0,383600.0,45300.0,3,NH,1.0
2011-01-19,Big Street ATM,33.0,16.0,17.0,79500.0,40200.0,39300.0,3,NH,1.0
2011-01-20,Christ College ATM,140.0,45.0,95.0,571300.0,244000.0,327300.0,4,NH,1.0
2011-01-20,Mount Road ATM,163.0,88.0,75.0,565500.0,404300.0,161200.0,4,NH,1.0
2011-01-20,KK Nagar ATM,120.0,97.0,23.0,445900.0,366900.0,79000.0,4,NH,1.0
2011-01-20,Airport ATM,89.0,69.0,20.0,298000.0,250200.0,47800.0,4,NH,1.0
2011-01-20,Big Street ATM,25.0,10.0,15.0,81700.0,38700.0,43000.0,4,NH,1.0
2011-01-21,Christ College ATM,90.0,44.0,46.0,386800.0,235800.0,151000.0,5,NH,1.0
2011-01-21,Mount Road ATM,139.0,66.0,73.0,450400.0,245500.0,204900.0,5,NH,1.0
2011-01-21,KK Nagar ATM,193.0,146.0,47.0,581500.0,435000.0,146500.0,5,NH,1.0
2011-01-21,Airport ATM,67.0,56.0,11.0,350000.0,312600.0,37400.0,5,NH,1.0
2011-01-21,Big Street ATM,21.0,17.0,4.0,86600.0,82700.0,3900.0,5,NH,1.0
2011-01-22,Christ College ATM,95.0,35.0,60.0,465300.0,240700.0,224600.0,6,NH,0.0
2011-01-22,Mount Road ATM,151.0,79.0,72.0,455600.0,308200.0,147400.0,6,NH,0.0
2011-01-22,KK Nagar ATM,196.0,168.0,28.0,683300.0,638800.0,44500.0,6,NH,0.0
2011-01-22,Airport ATM,93.0,70.0,23.0,363600.0,316300.0,47300.0,6,NH,0.0
2011-01-22,Big Street ATM,25.0,12.0,13.0,85400.0,50500.0,34900.0,6,NH,0.0
2011-01-23,Christ College ATM,45.0,29.0,16.0,212500.0,174200.0,38300.0,7,NH,0.0
2011-01-23,Mount Road ATM,134.0,71.0,63.0,352100.0,225200.0,126900.0,7,NH,0.0
2011-01-23,KK Nagar ATM,110.0,96.0,14.0,290000.0,253900.0,36100.0,7,NH,0.0
